,recêncy,frequency,amount
10,3829,1,3.4011973816621555
80,343,7,4.268697949366879
90,758,10,4.751864565138895
120,1401,1,2.995732273553991
130,2970,2,3.912023005428146
160,2963,2,3.4011973816621555
190,2211,5,4.219507705176107
220,2058,2,3.2188758248682006
230,3985,1,3.912023005428146
240,463,4,2.7880929087757464
260,3710,1,2.70805020110221
280,2065,2,2.995732273553991
290,787,7,4.3548756456079305
320,3739,1,2.70805020110221
330,1167,5,3.5263605246161616
400,2065,2,3.3141860046725258
410,1104,9,3.382505248650003
480,21,12,4.108137884354437
490,3506,2,3.4339872044851463
500,2956,2,4.31748811353631
510,3698,1,3.4011973816621555
520,1991,3,5.211305989558407
690,1832,4,2.995732273553991
710,2058,6,3.3141860046725258
760,1273,4,3.71965111278069
770,2348,2,3.4011973816621555
780,3669,1,3.2188758248682006
800,1465,3,4.621699487939302
820,3720,1,3.4011973816621555
830,321,7,3.8830354685548936
850,24,10,3.349904087274605
860,237,10,3.9889840465642745
870,3653,1,6.1092475827643655
890,3731,1,3.4011973816621555
910,3657,1,3.2188758248682006
940,731,8,3.590439381300684
960,3779,1,3.912023005428146
1000,1120,2,3.1135153092103742
1020,1,5,4.219507705176107
1030,819,7,2.995732273553991
1040,56,4,3.7495040759303713
1050,1448,9,5.047002938267131
1150,10,11,4.160302530013898
1200,1192,9,4.632569160176206
1290,367,5,3.970291913552122
1310,3,11,3.3704257229954018
1350,3288,4,3.4420193761824107
1380,616,4,4.135166556742356
1410,368,5,5.598421958998375
1420,24,34,3.9324021677647982
1430,3293,3,3.8430301339411947
1470,15,9,4.02733385193914
1530,1,1,3.912023005428146
1550,1745,4,3.960813169597578
1590,3731,1,4.31748811353631
1620,588,2,3.2188758248682006
1650,1373,3,3.283414346005772
1660,2354,4,4.051784947803305
1710,343,11,4.525733355340057
1800,192,4,3.4011973816621555
1860,282,1,3.912023005428146
1880,1,4,2.995732273553991
1910,605,5,3.4965075614664802
1920,34,8,3.5373295559867355
1940,686,10,3.8607297110405954
1950,3291,2,5.703782474656201
1960,286,12,3.71965111278069
2070,3288,2,3.4011973816621555
2120,199,12,5.943455327921622
2140,3326,1,3.4011973816621555
2160,3180,2,5.298317366548036
2170,797,7,3.3524072174927233
2180,134,1,3.4011973816621555
2190,1008,9,6.518819472825183
2200,1387,3,4.199705077879927
2230,3362,1,2.0794415416798357
2270,154,10,2.8903717578961645
2280,3730,1,2.70805020110221
2320,2079,3,2.5902671654458267
2370,3324,2,4.135166556742356
2380,618,6,3.8430301339411947
2440,3667,1,4.007333185232471
2480,366,3,3.7689221617874726
2540,1486,4,4.7770204429147505
2570,6,9,4.820281565605037
2600,1101,7,6.170805475763799
2620,1387,2,3.4011973816621555
2640,73,20,3.417726683613366
2660,3727,1,2.995732273553991
2690,1107,6,4.685212893661628
2700,1470,4,4.212127597878484
2720,100,21,4.0783442208756595
2740,3012,4,3.8607297110405954
2800,3172,3,4.31748811353631
2810,3731,1,3.4011973816621555
2850,2935,5,3.4011973816621555
2930,2963,2,5.1647859739235145
2940,3191,3,3.6018680771243066
2960,1813,6,4.022371062597012
2980,1462,3,3.8781214537524646
3000,1192,6,3.5589131276539097
3010,3,12,3.7592602508757356
3020,2256,5,3.5263605246161616
3040,3577,2,3.5553480614894135
3050,526,9,3.7689221617874726
3060,689,8,4.212127597878484
3090,3691,1,4.605170185988092
3100,674,4,3.657130755799356
3120,2011,4,5.1647859739235145
3130,2480,5,3.367295829986474
3140,3814,1,4.605170185988092
3170,195,6,3.373026504695459
3200,2058,4,3.2676659890376327
3260,1224,7,3.7239707739252066
3300,31,11,3.445649144232989
3320,1570,4,4.212127597878484
3450,2927,2,3.1135153092103742
3510,276,9,3.455264602932431
3600,3341,3,3.7689221617874726
3610,17,8,4.5339426766997235
3650,276,10,3.7612001156935624
3670,2970,2,3.1135153092103742
3710,2144,4,3.481240089335692
3720,2557,3,3.6018680771243066
3750,3653,1,2.995732273553991
3780,71,6,3.8607297110405954
3800,3118,2,2.8622008809294686
3830,3178,5,3.58351893845611
3880,1,9,6.808548628898689
3910,3774,1,4.31748811353631
3920,3352,1,3.4011973816621555
3940,322,5,4.912654885736052
3950,3360,1,2.302585092994046
3970,1057,7,3.377099830083095
4000,126,14,3.260840023967233
4100,3653,1,3.4011973816621555
4110,3269,1,4.0943445622221
4150,1540,8,3.518980417318539
4160,3288,1,4.605170185988092
4180,97,10,2.8903717578961645
4240,3726,1,2.70805020110221
4250,328,10,3.6109179126442243
4260,3720,1,2.995732273553991
4290,1528,5,3.5553480614894135
4300,1827,2,3.8066624897703196
4310,3709,1,3.6888794541139363
4340,944,8,4.283586561860629
4390,210,11,3.4011973816621555
4410,3288,2,3.6888794541139363
4420,3313,1,3.4011973816621555
4470,1,10,3.5409593240373143
4480,1,8,5.991464547107982
4490,2,11,4.442651256490317
4530,3341,2,3.912023005428146
4570,3362,1,3.4011973816621555
4580,374,7,4.227875954846623
4600,44,10,3.6635616461296463
4610,1827,9,4.685212893661628
4650,2975,3,3.9765615265657175
4680,2192,5,4.605170185988092
4710,14,13,4.955285199013091
4730,1827,5,3.4657359027997265
4740,1827,6,4.653960350157523
4750,25,9,4.007333185232471
4790,1715,4,4.350277936359301
4800,1,10,4.516338972281476
4820,3727,1,2.70805020110221
4840,3731,1,3.4011973816621555
4860,58,5,3.9889840465642745
4870,27,10,3.7727609380946383
4910,1465,6,3.1135153092103742
4930,2968,3,3.283414346005772
4950,1065,10,3.970291913552122
4970,295,7,3.2744456760230114
4980,1,17,4.66232859982804
5010,731,4,3.1675825304806504
5050,265,5,3.367295829986474
