,customers_id,recêncy,first_purchase,frequency,amount
0,10,3829,3829,1,30.0
1,80,343,3751,7,71.42857142857143
2,90,758,3783,10,115.8
3,120,1401,1401,1,20.0
4,130,2970,3710,2,50.0
5,160,2963,3577,2,30.0
6,190,2211,3690,5,68.0
7,220,2058,3664,2,25.0
8,230,3985,3985,1,50.0
9,240,463,3815,4,16.25
10,260,3710,3710,1,15.0
11,280,2065,3720,2,20.0
12,290,787,3720,7,77.85714285714286
13,320,3739,3739,1,15.0
14,330,1167,3691,5,34.0
15,400,2065,3818,2,27.5
16,410,1104,3800,9,29.444444444444443
17,480,21,3678,12,60.833333333333336
18,490,3506,3815,2,31.0
19,500,2956,3667,2,75.0
20,510,3698,3698,1,30.0
21,520,1991,2729,3,183.33333333333334
22,690,1832,3689,4,20.0
23,710,2058,3828,6,27.5
24,760,1273,3293,5,38.0
25,770,2348,3689,2,30.0
26,780,3669,3669,1,25.0
27,800,1465,3689,3,101.66666666666667
28,820,3720,3720,1,30.0
29,830,321,3739,7,48.57142857142857
30,850,24,3416,10,28.5
31,860,237,4008,10,54.0
32,870,3653,3653,1,450.0
33,890,3731,3731,1,30.0
34,910,3657,3657,1,25.0
35,940,731,3288,8,36.25
36,960,3779,3779,1,50.0
37,1000,1120,3710,2,22.5
38,1020,1,2192,5,68.0
39,1030,819,3730,7,20.0
40,1040,56,3804,4,42.5
41,1050,1448,3761,9,155.55555555555554
42,1150,10,3664,11,64.0909090909091
43,1200,1192,3907,9,102.77777777777777
44,1290,367,3689,5,53.0
45,1310,3,3814,11,29.09090909090909
46,1350,3288,3905,4,31.25
47,1380,616,3717,4,62.5
48,1410,368,3653,5,270.0
49,1420,24,3810,34,51.029411764705884
50,1430,3293,3976,3,46.666666666666664
51,1470,15,3905,9,56.111111111111114
52,1530,1,1,1,50.0
53,1550,1745,3691,4,52.5
54,1590,3731,3731,1,75.0
55,1620,588,3745,2,25.0
56,1650,1373,3720,3,26.666666666666668
57,1660,2354,3709,4,57.5
58,1710,343,3727,11,92.36363636363636
59,1800,192,3720,4,30.0
60,1860,282,282,1,50.0
61,1880,1,3288,4,20.0
62,1910,605,3731,5,33.0
63,1920,34,3824,8,34.375
64,1940,686,3957,10,47.5
65,1950,3291,3807,2,300.0
66,1960,286,3783,12,41.25
67,2070,3288,3999,2,30.0
68,2120,199,3362,12,381.25
69,2140,3326,3326,1,30.0
70,2160,3180,3738,2,200.0
71,2170,797,3363,7,28.571428571428573
72,2180,134,134,1,30.0
73,2190,1008,3363,9,677.7777777777778
74,2200,1387,3738,3,66.66666666666667
75,2230,3362,3362,1,8.0
76,2270,154,3328,10,18.0
77,2280,3730,3730,1,15.0
78,2320,2079,3362,3,13.333333333333334
79,2370,3324,3324,2,62.5
80,2380,618,4004,6,46.666666666666664
81,2440,3667,3667,1,55.0
82,2480,366,3362,3,43.333333333333336
83,2540,1486,3824,4,118.75
84,2570,6,2923,9,124.0
85,2600,1101,3669,7,478.57142857142856
86,2620,1387,3585,2,30.0
87,2640,73,3831,20,30.5
88,2660,3727,3727,1,20.0
89,2690,1107,3293,6,108.33333333333333
90,2700,1470,3017,4,67.5
91,2720,100,3730,21,59.04761904761905
92,2740,3012,3730,4,47.5
93,2800,3172,3570,3,75.0
94,2810,3731,3731,1,30.0
95,2850,2935,3677,5,30.0
96,2930,2963,3293,2,175.0
97,2940,3191,3824,3,36.666666666666664
98,2960,1813,3720,6,55.833333333333336
99,2980,1462,3288,3,48.333333333333336
100,3000,1192,3727,6,35.125
101,3010,3,3720,12,42.916666666666664
